date,abbreviation_canton_and_fl,ncumul_tested_fwd,ncumul_conf_fwd,ncumul_hosp_fwd,ncumul_deceased_fwd,population,incidence
2021-02-01,AG,0,34251,89,588,678207,5050.228027726048
2021-02-01,AI,0,831,1,15,16145,5147.10436667699
2021-02-01,AR,0,2867,18,50,55234,5190.64344425535
2021-02-01,BE,0,50535,118,923,1034977,4882.717200478851
2021-02-01,BL,0,12666,18,203,288132,4395.901878305776
2021-02-01,BS,235,9337,57,179,194766,4793.9578776583185
2021-02-01,FR,30,25712,38,451,318714,8067.420947934512
2021-02-01,GE,187408,44607,120,681,499480,8930.687915432049
2021-02-01,GL,14038,2067,11,63,40403,5115.9567358859495
2021-02-01,GR,0,9975,30,166,198379,5028.253998659133
2021-02-01,JU,0,5336,16,125,73419,7267.873438755636
2021-02-01,LU,0,20481,71,283,409557,5000.769123711718
2021-02-01,NE,0,13059,24,353,176850,7384.223918575064
2021-02-01,NW,0,1854,9,16,43223,4289.382967401615
2021-02-01,OW,6,1727,6,36,37841,4563.832879680769
2021-02-01,SH,0,3482,4,63,81991,4246.807576441317
2021-02-01,SZ,10,9116,21,200,159165,5727.389815600163
2021-02-01,SO,101476,12735,28,245,273194,4661.5225810230095
2021-02-01,SG,0,32441,75,642,507697,6389.834881829122
2021-02-01,TG,276,14078,31,305,276472,5092.016551404844
2021-02-01,TI,0,26818,156,936,353343,7589.792354737465
2021-02-01,UR,85,1702,3,37,36433,4671.58894408915
2021-02-01,VS,0,29201,120,688,343955,8489.773371516623
2021-02-01,VD,0,63225,214,868,799145,7911.58050166115
2021-02-01,ZG,0,6022,7,108,126837,4747.825949841135
2021-02-01,ZH,0,81954,222,1171,1520968,5388.27904334608
